Region,Country,Date_of_Arrival,Number_of_Tourists
Southeast Asia,Brunei Darussalam,2023-12-01,"9,281"
Southeast Asia,Indonesia,2023-12-01,"244,343"
Southeast Asia,Malaysia,2023-12-01,"102,689"
Southeast Asia,Myanmar,2023-12-01,"13,146"
Southeast Asia,Philippines,2023-12-01,"62,901"
Southeast Asia,Thailand,2023-12-01,"30,001"
Southeast Asia,Vietnam,2023-12-01,"24,681"
Southeast Asia,Other Markets In Southeast Asia,2023-12-01,"8,703"
Greater China,China,2023-12-01,"130,207"
Greater China,Hong Kong SAR,2023-12-01,"26,440"
Greater China,Taiwan,2023-12-01,"17,413"
Greater China,Other Markets In Greater China,2023-12-01,"2,893"
North Asia,Japan,2023-12-01,"32,132"
North Asia,South Korea,2023-12-01,"39,202"
North Asia,Other Markets In North Asia,2023-12-01,123
South Asia,Bangladesh,2023-12-01,"11,743"
South Asia,India,2023-12-01,"92,635"
South Asia,Pakistan,2023-12-01,"1,629"
South Asia,Sri Lanka,2023-12-01,"5,975"
South Asia,Other Markets In South Asia,2023-12-01,"2,997"
West Asia,Iran,2023-12-01,427
West Asia,Israel,2023-12-01,693
West Asia,Kuwait,2023-12-01,512
West Asia,Saudi Arabia,2023-12-01,"1,569"
West Asia,United Arab Emirates,2023-12-01,"7,156"
West Asia,Other Markets In West Asia,2023-12-01,"2,375"
Americas,Canada,2023-12-01,"11,270"
Americas,USA,2023-12-01,"66,745"
Americas,Other Markets In Americas,2023-12-01,"6,880"
Europe,Belgium & Luxembourg,2023-12-01,"1,969"
Europe,Denmark,2023-12-01,"2,046"
Europe,Finland,2023-12-01,"1,957"
Europe,France,2023-12-01,"10,021"
Europe,Germany,2023-12-01,"31,173"
Europe,Italy,2023-12-01,"4,253"
Europe,Netherlands,2023-12-01,"6,890"
Europe,Norway,2023-12-01,"1,735"
Europe,Rep Of Ireland,2023-12-01,"1,616"
Europe,Russian Federation,2023-12-01,"5,550"
Europe,Spain,2023-12-01,"3,589"
Europe,Sweden,2023-12-01,"2,851"
Europe,Switzerland,2023-12-01,"6,817"
Europe,United Kingdom,2023-12-01,"46,380"
Europe,Other Markets In Europe,2023-12-01,"18,222"
Oceania,Australia,2023-12-01,"112,310"
Oceania,New Zealand,2023-12-01,"12,731"
Oceania,Other Markets In Oceania,2023-12-01,"3,963"
Africa,Egypt,2023-12-01,188
Africa,Mauritius,2023-12-01,977
Africa,South Africa (Rep Of),2023-12-01,"4,245"
Africa,Other Markets In Africa,2023-12-01,"3,500"
Others,Others,2023-12-01,34
