Region,Country,Date_of_Arrival,Number_of_Tourists
Americas,Canada,2023-03-01,"12,626"
Americas,USA,2023-03-01,"54,157"
Americas,Other Markets In Americas,2023-03-01,"6,841"
Europe,Belgium & Luxembourg,2023-03-01,"2,215"
Europe,Denmark,2023-03-01,"2,679"
Europe,Finland,2023-03-01,"2,131"
Europe,France,2023-03-01,"12,924"
Europe,Germany,2023-03-01,"34,976"
Europe,Italy,2023-03-01,"4,643"
Europe,Netherlands,2023-03-01,"6,956"
Europe,Norway,2023-03-01,"2,342"
Europe,Rep Of Ireland,2023-03-01,"1,992"
Europe,Russian Federation,2023-03-01,"6,635"
Europe,Spain,2023-03-01,"3,936"
Europe,Sweden,2023-03-01,"2,786"
Europe,Switzerland,2023-03-01,"5,940"
Europe,United Kingdom,2023-03-01,"50,330"
Europe,Other Markets In Europe,2023-03-01,"21,453"
Oceania,Australia,2023-03-01,"74,268"
Oceania,New Zealand,2023-03-01,"6,871"
Oceania,Other Markets In Oceania,2023-03-01,"2,688"
Africa,Egypt,2023-03-01,168
Africa,Mauritius,2023-03-01,474
Africa,South Africa (Rep Of),2023-03-01,"1,995"
Africa,Other Markets In Africa,2023-03-01,"1,663"
Others,Others,2023-03-01,89
Southeast Asia,Brunei Darussalam,2023-04-01,"5,850"
Southeast Asia,Indonesia,2023-04-01,"220,067"
Southeast Asia,Malaysia,2023-04-01,"98,190"
Southeast Asia,Myanmar,2023-04-01,"11,787"
Southeast Asia,Philippines,2023-04-01,"57,030"
Southeast Asia,Thailand,2023-04-01,"49,727"
Southeast Asia,Vietnam,2023-04-01,"36,630"
Southeast Asia,Other Markets In Southeast Asia,2023-04-01,"10,053"
Greater China,China,2023-04-01,"90,725"
Greater China,Hong Kong SAR,2023-04-01,"32,791"
Greater China,Taiwan,2023-04-01,"25,280"
Greater China,Other Markets In Greater China,2023-04-01,"2,107"
North Asia,Japan,2023-04-01,"22,134"
North Asia,South Korea,2023-04-01,"31,780"
North Asia,Other Markets In North Asia,2023-04-01,98
South Asia,Bangladesh,2023-04-01,"9,824"
South Asia,India,2023-04-01,"97,032"
South Asia,Pakistan,2023-04-01,684
South Asia,Sri Lanka,2023-04-01,"4,897"
South Asia,Other Markets In South Asia,2023-04-01,"2,231"
West Asia,Iran,2023-04-01,421
West Asia,Israel,2023-04-01,"1,275"
West Asia,Kuwait,2023-04-01,308
West Asia,Saudi Arabia,2023-04-01,750
West Asia,United Arab Emirates,2023-04-01,"6,714"
West Asia,Other Markets In West Asia,2023-04-01,"2,136"
Americas,Canada,2023-04-01,"9,428"
Americas,USA,2023-04-01,"44,779"
Americas,Other Markets In Americas,2023-04-01,"6,822"
Europe,Belgium & Luxembourg,2023-04-01,"2,144"
Europe,Denmark,2023-04-01,"2,407"
Europe,Finland,2023-04-01,"1,318"
Europe,France,2023-04-01,"13,260"
Europe,Germany,2023-04-01,"24,219"
Europe,Italy,2023-04-01,"4,220"
Europe,Netherlands,2023-04-01,"6,398"
Europe,Norway,2023-04-01,"1,810"
Europe,Rep Of Ireland,2023-04-01,"1,893"
Europe,Russian Federation,2023-04-01,"5,044"
Europe,Spain,2023-04-01,"4,517"
Europe,Sweden,2023-04-01,"2,150"
Europe,Switzerland,2023-04-01,"7,350"
Europe,United Kingdom,2023-04-01,"41,576"
Europe,Other Markets In Europe,2023-04-01,"17,109"
Oceania,Australia,2023-04-01,"92,937"
Oceania,New Zealand,2023-04-01,"11,065"
Oceania,Other Markets In Oceania,2023-04-01,"2,739"
Africa,Egypt,2023-04-01,155
Africa,Mauritius,2023-04-01,581
Africa,South Africa (Rep Of),2023-04-01,"2,177"
Africa,Other Markets In Africa,2023-04-01,"1,899"
Others,Others,2023-04-01,92
Southeast Asia,Brunei Darussalam,2023-05-01,"4,570"
Southeast Asia,Indonesia,2023-05-01,"183,758"
Southeast Asia,Malaysia,2023-05-01,"98,347"
Southeast Asia,Myanmar,2023-05-01,"10,104"
Southeast Asia,Philippines,2023-05-01,"59,346"
Southeast Asia,Thailand,2023-05-01,"40,375"
Southeast Asia,Vietnam,2023-05-01,"50,765"
Southeast Asia,Other Markets In Southeast Asia,2023-05-01,"8,998"
Greater China,China,2023-05-01,"95,613"
Greater China,Hong Kong SAR,2023-05-01,"26,356"
Greater China,Taiwan,2023-05-01,"24,313"
