Region,Country,Date_of_Arrival,Number_of_Tourists
Americas,Other Markets In Americas,Dec-23,"6,880"
Europe,Belgium & Luxembourg,Dec-23,"1,969"
Europe,Denmark,Dec-23,"2,046"
Europe,Finland,Dec-23,"1,957"
Europe,France,Dec-23,"10,021"
Europe,Germany,Dec-23,"31,173"
Europe,Italy,Dec-23,"4,253"
Europe,Netherlands,Dec-23,"6,890"
Europe,Norway,Dec-23,"1,735"
Europe,Rep Of Ireland,Dec-23,"1,616"
Europe,Russian Federation,Dec-23,"5,550"
Europe,Spain,Dec-23,"3,589"
Europe,Sweden,Dec-23,"2,851"
Europe,Switzerland,Dec-23,"6,817"
Europe,United Kingdom,Dec-23,"46,380"
Europe,Other Markets In Europe,Dec-23,"18,222"
Oceania,Australia,Dec-23,"112,310"
Oceania,New Zealand,Dec-23,"12,731"
Oceania,Other Markets In Oceania,Dec-23,"3,963"
Africa,Egypt,Dec-23,188
Africa,Mauritius,Dec-23,977
Africa,South Africa (Rep Of),Dec-23,"4,245"
Africa,Other Markets In Africa,Dec-23,"3,500"
Others,Others,Dec-23,34
