Region,Country,Date_of_Arrival,Number_of_Tourists
Europe,Finland,Mar-23,"2,131"
Europe,France,Mar-23,"12,924"
Europe,Germany,Mar-23,"34,976"
Europe,Italy,Mar-23,"4,643"
Europe,Netherlands,Mar-23,"6,956"
Europe,Norway,Mar-23,"2,342"
Europe,Rep Of Ireland,Mar-23,"1,992"
Europe,Russian Federation,Mar-23,"6,635"
Europe,Spain,Mar-23,"3,936"
Europe,Sweden,Mar-23,"2,786"
Europe,Switzerland,Mar-23,"5,940"
Europe,United Kingdom,Mar-23,"50,330"
Europe,Other Markets In Europe,Mar-23,"21,453"
Oceania,Australia,Mar-23,"74,268"
Oceania,New Zealand,Mar-23,"6,871"
Oceania,Other Markets In Oceania,Mar-23,"2,688"
Africa,Egypt,Mar-23,168
Africa,Mauritius,Mar-23,474
Africa,South Africa (Rep Of),Mar-23,"1,995"
Africa,Other Markets In Africa,Mar-23,"1,663"
Others,Others,Mar-23,89
Southeast Asia,Brunei Darussalam,Apr-23,"5,850"
Southeast Asia,Indonesia,Apr-23,"220,067"
Southeast Asia,Malaysia,Apr-23,"98,190"
Southeast Asia,Myanmar,Apr-23,"11,787"
Southeast Asia,Philippines,Apr-23,"57,030"
Southeast Asia,Thailand,Apr-23,"49,727"
Southeast Asia,Vietnam,Apr-23,"36,630"
Southeast Asia,Other Markets In Southeast Asia,Apr-23,"10,053"
Greater China,China,Apr-23,"90,725"
Greater China,Hong Kong SAR,Apr-23,"32,791"
Greater China,Taiwan,Apr-23,"25,280"
Greater China,Other Markets In Greater China,Apr-23,"2,107"
North Asia,Japan,Apr-23,"22,134"
North Asia,South Korea,Apr-23,"31,780"
North Asia,Other Markets In North Asia,Apr-23,98
South Asia,Bangladesh,Apr-23,"9,824"
South Asia,India,Apr-23,"97,032"
South Asia,Pakistan,Apr-23,684
South Asia,Sri Lanka,Apr-23,"4,897"
South Asia,Other Markets In South Asia,Apr-23,"2,231"
West Asia,Iran,Apr-23,421
West Asia,Israel,Apr-23,"1,275"
West Asia,Kuwait,Apr-23,308
West Asia,Saudi Arabia,Apr-23,750
West Asia,United Arab Emirates,Apr-23,"6,714"
West Asia,Other Markets In West Asia,Apr-23,"2,136"
Americas,Canada,Apr-23,"9,428"
Americas,USA,Apr-23,"44,779"
Americas,Other Markets In Americas,Apr-23,"6,822"
Europe,Belgium & Luxembourg,Apr-23,"2,144"
Europe,Denmark,Apr-23,"2,407"
Europe,Finland,Apr-23,"1,318"
Europe,France,Apr-23,"13,260"
Europe,Germany,Apr-23,"24,219"
Europe,Italy,Apr-23,"4,220"
Europe,Netherlands,Apr-23,"6,398"
Europe,Norway,Apr-23,"1,810"
Europe,Rep Of Ireland,Apr-23,"1,893"
Europe,Russian Federation,Apr-23,"5,044"
Europe,Spain,Apr-23,"4,517"
Europe,Sweden,Apr-23,"2,150"
Europe,Switzerland,Apr-23,"7,350"
Europe,United Kingdom,Apr-23,"41,576"
Europe,Other Markets In Europe,Apr-23,"17,109"
Oceania,Australia,Apr-23,"92,937"
Oceania,New Zealand,Apr-23,"11,065"
Oceania,Other Markets In Oceania,Apr-23,"2,739"
Africa,Egypt,Apr-23,155
Africa,Mauritius,Apr-23,581
Africa,South Africa (Rep Of),Apr-23,"2,177"
Africa,Other Markets In Africa,Apr-23,"1,899"
Others,Others,Apr-23,92
Southeast Asia,Brunei Darussalam,May-23,"4,570"
Southeast Asia,Indonesia,May-23,"183,758"
Southeast Asia,Malaysia,May-23,"98,347"
Southeast Asia,Myanmar,May-23,"10,104"
Southeast Asia,Philippines,May-23,"59,346"
Southeast Asia,Thailand,May-23,"40,375"
Southeast Asia,Vietnam,May-23,"50,765"
Southeast Asia,Other Markets In Southeast Asia,May-23,"8,998"
Greater China,China,May-23,"95,613"
Greater China,Hong Kong SAR,May-23,"26,356"
Greater China,Taiwan,May-23,"24,313"
